iter	Logloss
281	0.2611848899
282	0.2610701063
283	0.2609342216
284	0.2608550338
285	0.260776858
286	0.260701309
287	0.2606585721
288	0.2606342926
289	0.2605529398
290	0.2604874931
291	0.2604342194
292	0.2603544801
293	0.2603016149
294	0.2601982434
295	0.2601366113
296	0.2600779806
297	0.2600102575
298	0.2599655734
299	0.2599119353
300	0.2598434592
301	0.2597304631
302	0.2597049187
303	0.2596446145
304	0.25960782
305	0.259558653
306	0.2594973747
307	0.2594154189
308	0.259365125
309	0.2592837058
310	0.2592243074
311	0.2591636004
312	0.2590982927
313	0.2590108872
314	0.2589289418
315	0.2588602704
316	0.2588095411
317	0.2587671736
318	0.2586805975
319	0.2585911508
320	0.2585408406
321	0.2584319731
322	0.2583438619
323	0.2582536041
324	0.2582142001
325	0.2581776118
326	0.2581046555
327	0.2580390674
328	0.257997455
329	0.2579726804
330	0.2579476849
331	0.2578468796
332	0.2577684353
333	0.2577030887
334	0.2576216174
335	0.2575760326
336	0.2575296266
337	0.2574723365
338	0.2574490638
339	0.2574001157
340	0.257356613
341	0.2572507927
342	0.2571590188
343	0.2570681726
344	0.2569898442
345	0.2568876121
346	0.2568209165
347	0.2567207999
348	0.2566725911
349	0.2566198683
350	0.2565681403
351	0.2565099167
352	0.2564264668
353	0.256404015
354	0.2563526564
355	0.2562723314
356	0.2561695216
357	0.2561494597
358	0.2561040401
359	0.2560455289
360	0.2559489139
361	0.255871696
362	0.2558214043
363	0.2557734649
364	0.2557216313
365	0.255646929
366	0.2555840116
367	0.2555486888
368	0.2554825814
369	0.2554157305
370	0.2553315076
371	0.2552619774
372	0.2551994698
373	0.2551391485
374	0.2550973332
375	0.2550055681
376	0.2549326978
377	0.254858728
378	0.2547997094
379	0.2547415076
380	0.2546759722
381	0.254610849
382	0.2545555179
383	0.2544704436
384	0.2544016764
385	0.2542985472
386	0.2542010035
387	0.2541349051
388	0.2540560915
389	0.253945745
390	0.253859578
391	0.2537896518
392	0.2537002704
393	0.2536016816
394	0.2535263854
395	0.2535010751
396	0.2534389872
397	0.2533297079
398	0.2532340712
399	0.2531992272
400	0.2531381987
401	0.2530606545
402	0.25298727
403	0.2529045939
404	0.2528505721
405	0.252790068
406	0.2527009654
407	0.2526474296
408	0.2526213404
409	0.2525506578
410	0.2524968442
411	0.2523978808
412	0.2523388737
413	0.2522971171
414	0.2522587775
415	0.2521727962
416	0.2520906622
417	0.2520150333
418	0.2519543027
419	0.2518843659
420	0.2518213657
421	0.2517682431
422	0.2517127949
423	0.2517002593
424	0.2516112259
425	0.2515240713
426	0.2514650739
427	0.2514356841
428	0.2513886927
429	0.2513678914
430	0.2512898317
431	0.2512808415
432	0.2512170259
433	0.2511545459
434	0.2510878765
435	0.2510442066
436	0.2510039063
437	0.2509293537
438	0.2508432214
439	0.2507916512
440	0.2507370827
441	0.2506358879
442	0.2505637976
443	0.2505033242
444	0.2504016909
445	0.2503274555
446	0.2502924754
447	0.2502094263
448	0.2501991667
449	0.2501418228
450	0.2500899973
451	0.2500280847
452	0.2499604292
453	0.2498941628
454	0.2498353656
455	0.2497813205
456	0.2497179716
457	0.2496421928
458	0.2495873904
459	0.2495506517
460	0.249487106
461	0.2494395181
462	0.2494079829
463	0.249360288
464	0.2492930719
465	0.2492204347
466	0.2491718513
467	0.2490959787
468	0.2490145097
469	0.2489778559
470	0.2489672378
471	0.2489125995
472	0.2488617652
473	0.2488135226
474	0.2487383686
475	0.2486826107
476	0.2486029131
477	0.2485643111
478	0.2485205546
479	0.2484690875
480	0.2483831111
481	0.2483222055
482	0.2482785326
483	0.2482281172
484	0.2481605554
485	0.2480862192
486	0.2479880554
487	0.2479400352
488	0.2478550994
489	0.2478051041
490	0.247748948
491	0.247657346
492	0.2476158977
493	0.2475571456
494	0.2474942136
495	0.2474377325
496	0.2473885813
497	0.2473399186
498	0.2472857869
499	0.2471684166
500	0.2471134753
501	0.2470641642
502	0.2470384682
503	0.2469658817
504	0.2469180458
505	0.2468824743
506	0.2468284174
507	0.2467858465
508	0.2467195931
509	0.2466641785
510	0.2466097653
511	0.2465386527
512	0.2464832616
513	0.2464351347
514	0.2463920029
515	0.2463188071
516	0.2462393077
517	0.2461754642
518	0.2461022546
519	0.2460007061
520	0.2459469137
521	0.2458681963
522	0.2458331125
523	0.2457462841
524	0.245710274
525	0.2456491701
526	0.2455753666
527	0.2455165445
528	0.2454588832
529	0.2453995032
530	0.2453672957
531	0.2453192866
532	0.2452766798
533	0.2452141352
534	0.2451472778
535	0.2450879916
536	0.2450073385
537	0.2449605443
538	0.244918837
539	0.2448107197
540	0.2447565154
541	0.2447029411
542	0.2446235236
543	0.2445738344
544	0.2445323851
545	0.2444723499
546	0.2444439355
547	0.2443751667
548	0.244319029
549	0.2442476843
550	0.244189184
551	0.2441216955
552	0.2440829622
553	0.2440135534
554	0.2439542534
555	0.2438893047
556	0.2438394936
557	0.2438070072
558	0.2437408277
559	0.2437106417
560	0.2436535799
561	0.2435880782
562	0.2435285499
563	0.2434737608
564	0.2434349109
565	0.2433690124
566	0.2433324004
567	0.2432555136
568	0.2431908441
569	0.2431191624
570	0.2430633768
571	0.2430016696
572	0.242942939
573	0.2429124285
574	0.2428602664
575	0.2428216789
576	0.2427886961
577	0.2427322645
578	0.2427271456
579	0.2426265959
580	0.2425667677
581	0.2425483819
582	0.2424930776
583	0.2424417117
584	0.2423927724
585	0.2423276718
586	0.2422543119
587	0.2421914332
588	0.2421249217
589	0.242057273
590	0.2420202869
591	0.2419859679
592	0.2419367652
593	0.2418804308
594	0.2418183242
595	0.2417605557
596	0.2417050418
597	0.2416293151
598	0.241580975
599	0.2415209563
600	0.2414632638
601	0.2414035929
602	0.2413428423
603	0.2412526333
604	0.2412112695
605	0.2411663271
606	0.2411233243
607	0.2410607995
608	0.2410109126
609	0.2409658772
610	0.2409319335
611	0.2408618781
612	0.2408013998
613	0.2407409069
614	0.240699341
615	0.2405996691
616	0.2405519858
617	0.240523368
618	0.240466199
619	0.2403767098
620	0.2402799628
621	0.2402354634
622	0.2401762049
623	0.2401479271
624	0.2400693092
625	0.2399902374
626	0.2399375465
627	0.239858024
628	0.239798336
629	0.2397583119
630	0.2397203005
631	0.2396722831
632	0.2396297764
633	0.2395819091
634	0.2395435915
635	0.2394445382
636	0.2394219243
637	0.2393964536
638	0.2393568712
639	0.2393223229
640	0.2392410079
641	0.2391888747
642	0.2391536862
643	0.2390952506
644	0.2390191985
645	0.2389813167
646	0.2389460682
647	0.238910111
648	0.2388308906
649	0.2387976901
650	0.2387906684
651	0.2387199672
652	0.2386735696
653	0.238632587
654	0.2385912319
655	0.2385505156
656	0.2384815714
657	0.2384217162
658	0.238390949
659	0.2383190811
660	0.2382270375
661	0.238155878
662	0.2381110504
663	0.2380573424
664	0.2379978821
665	0.2379123897
666	0.2378395929
667	0.2378012919
668	0.2377448551
669	0.2376886445
670	0.2376367369
671	0.237590143
672	0.2375586101
673	0.2374815534
674	0.2374421307
675	0.237413544
676	0.2373493718
677	0.2373161462
678	0.23727625
679	0.2372220078
680	0.2371507657
681	0.2371226098
682	0.2370759122
683	0.2370265582
684	0.2369797193
685	0.2368986779
686	0.2368293843
687	0.2367850238
688	0.2367277837
689	0.2366587102
690	0.2366151492
691	0.2365911886
692	0.2365238742
693	0.2364420258
694	0.2363812884
695	0.2363472862
696	0.2363350366
697	0.2362904846
698	0.2362318473
699	0.2361486588
700	0.2361104615
701	0.2360359453
702	0.2359792299
703	0.2359368826
704	0.2358725501
705	0.2358266337
706	0.2357637586
707	0.235718847
708	0.2356816729
709	0.2356619269
710	0.2355957294
711	0.2355580954
712	0.2354924732
713	0.2354186796
714	0.2353496064
715	0.2353145396
716	0.2352679713
717	0.2352269929
718	0.2351909759
719	0.2351212533
720	0.2350727896
721	0.2350220927
722	0.2349963612
723	0.2349522824
724	0.2349040356
725	0.2348410752
726	0.2347925268
727	0.2347375211
728	0.2346678395
729	0.2346082674
730	0.2345266806
731	0.2344920761
732	0.2344271228
733	0.2343855005
734	0.2343240655
735	0.2342707261
736	0.2342307226
737	0.2342076605
738	0.2341394875
739	0.2341060817
740	0.2340779071
741	0.234048708
742	0.2340112302
743	0.2339505669
744	0.2339094422
745	0.2338231481
746	0.2337542605
747	0.2337223585
748	0.233656171
749	0.2335780908
750	0.2335397873
751	0.2334778261
752	0.2334051416
753	0.2333593813
754	0.2333247395
755	0.2332674081
756	0.2332371426
757	0.2331918132
758	0.233130423
759	0.233089662
760	0.2330046236
761	0.232962298
762	0.2329392847
763	0.2329149906
764	0.2328741748
765	0.2328215734
766	0.2327762043
767	0.2327433959
768	0.2327057608
769	0.2326569558
770	0.2326063381
771	0.2325382271
772	0.2324757032
773	0.2324454775
774	0.2324162301
775	0.232378491
776	0.2323195591
777	0.2322673554
778	0.2322379432
779	0.2321987019
780	0.2321605137
781	0.2320988329
782	0.2320538737
783	0.2320091663
784	0.2319544262
785	0.2319356988
786	0.2318879478
787	0.2318610191
788	0.2318079008
789	0.2317647103
790	0.2317292001
791	0.2316971844
792	0.2316404534
793	0.2316311721
794	0.2315847598
795	0.2315486277
796	0.2315144325
797	0.2314851981
798	0.2314542905
799	0.2314138288
800	0.2313432123
801	0.2312977692
802	0.2312560715
803	0.2312123755
804	0.231169213
805	0.2311273183
806	0.2310765973
807	0.2310371853
808	0.2310095894
809	0.2309267879
810	0.230879885
811	0.2308553064
812	0.2308001296
813	0.2307402425
814	0.2306953537
815	0.2306323085
816	0.2306065417
817	0.2305738402
818	0.230546373
819	0.2304746857
820	0.2304412321
821	0.2304174307
822	0.2303655808
823	0.2303035205
824	0.230276866
825	0.230244063
826	0.230172424
827	0.2301410135
828	0.2300853553
829	0.2300444906
830	0.2299808161
831	0.229919771
832	0.2298612436
833	0.2298358803
834	0.2297792901
835	0.2297474184
836	0.2297124837
837	0.2296649458
838	0.2296303982
839	0.2295779802
840	0.2295243162
841	0.2295059704
842	0.2294471709
843	0.2293979824
844	0.2293931121
845	0.2293653459
846	0.2293106229
847	0.229262673
848	0.2292247758
849	0.2291796522
850	0.2291595528
851	0.2291002381
852	0.2290646182
853	0.2290149432
854	0.2289500755
855	0.2289280822
856	0.2289027254
857	0.2288463714
858	0.2288068735
859	0.2287603698
860	0.2287243209
861	0.2286936748
862	0.2286891583
863	0.2286498148
864	0.2286462831
865	0.2285997571
866	0.2285208167
867	0.2284737805
868	0.2284346515
869	0.2283772756
870	0.2282622873
871	0.2282216121
872	0.228157374
873	0.2281495465
874	0.2281200405
875	0.2280801546
876	0.2280309532
877	0.2279942424
878	0.2279508248
879	0.2279238559
880	0.2278815477
881	0.2278593477
882	0.2277966451
883	0.2277035781
884	0.2276738081
885	0.2276307531
886	0.2275784571
887	0.2275444063
888	0.2275072123
889	0.2274601875
890	0.2273738635
891	0.2273216605
892	0.2272485367
893	0.2272076294
894	0.2271330559
895	0.2271024531
896	0.2270671034
897	0.2270263177
898	0.2269805925
899	0.2269326342
900	0.2268855238
901	0.2268489392
902	0.2267708367
903	0.2267423149
904	0.2266984649
905	0.226618641
906	0.2265763501
907	0.226529945
908	0.2264808097
909	0.2264515158
910	0.2263955375
911	0.2263734611
912	0.2262992576
913	0.2262439098
914	0.2261877017
915	0.2261192304
916	0.2260896294
917	0.2260605845
918	0.2260090674
919	0.2259750923
920	0.2259515794
921	0.225920379
922	0.2258836578
923	0.225822161
924	0.2257697858
925	0.2257399064
926	0.2256977705
927	0.2256556033
928	0.2255966502
929	0.2255356518
930	0.2255098448
931	0.225467327
932	0.2253994212
933	0.2253724756
934	0.2252939797
935	0.2252420628
936	0.2251985329
937	0.2251488624
938	0.2251235208
939	0.2250586939
940	0.2250278684
941	0.2249576204
942	0.2249195297
943	0.2249000591
944	0.2248438676
945	0.2247944379
946	0.2247472871
947	0.2246737178
948	0.224621897
949	0.2246040375
950	0.2245973601
951	0.2245622237
952	0.2245278651
953	0.2245118864
954	0.2244973949
955	0.2244711024
956	0.2243870333
957	0.2243662428
958	0.2243173506
959	0.224272852
960	0.2242079602
961	0.2242053752
962	0.2241913342
963	0.2241413393
964	0.2241135272
965	0.2240807657
966	0.2240519038
967	0.2240010433
968	0.2239660495
969	0.2239217382
970	0.2238844438
971	0.2238397918
972	0.2237804899
973	0.223735033
974	0.2236658517
975	0.2236407627
976	0.223597079
977	0.2235561455
978	0.2234994652
979	0.2234748341
980	0.2234431269
981	0.2234218064
982	0.2233721537
983	0.2233373618
984	0.2232800635
985	0.2232258507
986	0.223140688
987	0.2231181289
988	0.2230845204
989	0.2230605899
990	0.2229913063
991	0.2229766598
992	0.2229312788
993	0.2229112012
994	0.2228409992
995	0.2228285287
996	0.2228001272
997	0.2227743338
998	0.222730184
999	0.2227010913
